Last Update,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
2/1/2020,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-02,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-02-03,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,,414.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-02-04,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0
2020-02-05,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0
2020-02-06,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0
2020-02-07,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,699.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0
2020-02-08,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,4.0,1.0,780.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0
2020-02-09,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,6.0,1.0,871.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0
2020-02-10,3.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,7.0,6.0,1.0,974.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,1.0,1.0,,1.0,1.0,,0.0,0.0,0.0
2020-02-11,4.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,8.0,7.0,1.0,1068.0,1.0,,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,,0.0,0.0,0.0
2020-02-12,4.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,4.0,2.0,8.0,8.0,1.0,1068.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-02-13,5.0,3.0,4.0,0.0,4.0,2.0,2.0,1.0,4.0,3.0,9.0,10.0,1.0,1310.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,,1.0,0.0,0.0
2020-02-14,6.0,3.0,5.0,0.0,,2.0,2.0,1.0,4.0,3.0,11.0,11.0,2.0,1457.0,2.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.0,2.0,1.0,0.0,1.0,3.0,,1.0,0.0,0.0
2020-02-15,6.0,4.0,5.0,0.0,2.0,2.0,2.0,1.0,4.0,3.0,11.0,13.0,,1596.0,2.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,,1.0,0.0,0.0
2020-02-16,6.0,4.0,5.0,0.0,2.0,2.0,2.0,1.0,4.0,3.0,11.0,13.0,1.0,1696.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,,,0.0,2.0,1.0,0.0,3.0,3.0,,1.0,0.0,0.0
2020-02-17,6.0,4.0,5.0,0.0,2.0,4.0,2.0,1.0,4.0,3.0,11.0,16.0,1.0,1789.0,3.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.0,2.0,1.0,0.0,3.0,3.0,,1.0,0.0,0.0
2020-02-18,6.0,4.0,5.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,11.0,19.0,1.0,1921.0,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,,1.0,0.0,0.0
2020-02-19,6.0,4.0,5.0,0.0,2.0,5.0,2.0,2.0,4.0,4.0,12.0,19.0,2.0,2029.0,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,3.0,2.0,0.0,3.0,3.0,,1.0,1.0,0.0
2020-02-20,6.0,4.0,6.0,1.0,2.0,5.0,2.0,2.0,4.0,5.0,12.0,19.0,2.0,2144.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,4.0,2.0,0.0,3.0,3.0,,1.0,2.0,1.0
2020-02-21,6.0,4.0,6.0,1.0,4.0,5.0,2.0,2.0,4.0,5.0,12.0,19.0,2.0,2144.0,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,4.0,2.0,0.0,3.0,3.0,,1.0,2.0,1.0
2020-02-22,6.0,4.0,6.0,1.0,,5.0,2.0,2.0,4.0,6.0,12.0,19.0,2.0,2346.0,4.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,4.0,3.0,0.0,3.0,3.0,,2.0,2.0,1.0
2020-02-23,6.0,4.0,6.0,1.0,2.0,6.0,2.0,4.0,5.0,6.0,12.0,19.0,2.0,2346.0,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,4.0,3.0,0.0,3.0,3.0,,2.0,2.0,1.0
2020-02-24,6.0,4.0,6.0,1.0,4.0,6.0,2.0,,5.0,6.0,12.0,19.0,2.0,2495.0,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,5.0,3.0,0.0,3.0,3.0,,4.0,2.0,1.0
2020-02-25,6.0,4.0,6.0,1.0,,7.0,2.0,4.0,5.0,6.0,12.0,19.0,2.0,2563.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,6.0,3.0,0.0,3.0,3.0,,,2.0,1.0
2020-02-26,6.0,4.0,6.0,1.0,4.0,7.0,2.0,,5.0,6.0,12.0,19.0,2.0,2615.0,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,6.0,3.0,0.0,3.0,3.0,,2.0,2.0,1.0
2020-02-27,6.0,5.0,6.0,1.0,,7.0,2.0,8.0,5.0,6.0,13.0,20.0,2.0,2641.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,1.0,6.0,3.0,0.0,3.0,6.0,,2.0,2.0,1.0
2020-02-28,6.0,7.0,6.0,1.0,4.0,7.0,2.0,,5.0,6.0,13.0,20.0,2.0,2682.0,4.0,0.0,0.0,1.0,1.0,,,,,1.0,6.0,3.0,0.0,3.0,,,3.0,2.0,1.0
2020-02-29,6.0,8.0,6.0,1.0,,7.0,2.0,,5.0,6.0,13.0,21.0,2.0,2727.0,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,6.0,3.0,0.0,3.0,3.0,,3.0,2.0,1.0
2020-03-01,6.0,8.0,6.0,1.0,2.0,7.0,2.0,,5.0,6.0,13.0,22.0,2.0,2761.0,4.0,0.0,0.0,1.0,1.0,2.0,,,,1.0,6.0,3.0,0.0,3.0,6.0,,3.0,2.0,1.0
2020-03-02,6.0,8.0,6.0,1.0,2.0,7.0,2.0,10.0,5.0,6.0,13.0,22.0,2.0,2803.0,4.0,0.0,0.0,1.0,2.0,,,0.0,,2.0,6.0,3.0,0.0,3.0,,,3.0,2.0,1.0
2020-03-03,6.0,8.0,6.0,1.0,2.0,7.0,2.0,,5.0,6.0,13.0,22.0,2.0,2835.0,4.0,1.0,0.0,1.0,,4.0,0.0,,,,6.0,3.0,0.0,3.0,6.0,,3.0,6.0,1.0
2020-03-04,6.0,16.0,6.0,1.0,2.0,7.0,2.0,,5.0,6.0,13.0,22.0,2.0,2871.0,4.0,1.0,0.0,1.0,1.0,,,0.0,,1.0,6.0,3.0,,3.0,,,3.0,,1.0
2020-03-05,6.0,,6.0,1.0,2.0,7.0,2.0,,18.0,6.0,13.0,22.0,2.0,2902.0,4.0,2.0,0.0,1.0,1.0,,,,,1.0,6.0,3.0,0.0,3.0,12.0,,3.0,,1.0
2020-03-06,12.0,8.0,6.0,1.0,2.0,7.0,2.0,,,6.0,13.0,22.0,2.0,2931.0,4.0,,0.0,1.0,3.0,,0.0,0.0,,2.0,6.0,3.0,,3.0,,,3.0,10.0,1.0
2020-03-07,,8.0,6.0,4.0,2.0,7.0,2.0,2.0,,24.0,13.0,22.0,2.0,2959.0,4.0,1.0,0.0,1.0,,1.0,,,,,6.0,3.0,,3.0,,,3.0,,1.0
2020-03-08,18.0,8.0,6.0,,2.0,7.0,2.0,2.0,18.0,,13.0,66.0,3.0,2986.0,4.0,3.0,0.0,1.0,,2.0,,,,2.0,6.0,3.0,,3.0,,,9.0,,1.0
2020-03-09,,8.0,6.0,,2.0,8.0,2.0,2.0,,,13.0,,3.0,3008.0,4.0,,0.0,1.0,2.0,,,,,,6.0,3.0,0.0,3.0,3.0,,,,1.0
2020-03-10,,8.0,6.0,,2.0,8.0,2.0,2.0,,,13.0,,,3024.0,4.0,,0.0,1.0,,1.0,,,,1.0,6.0,3.0,0.0,3.0,3.0,,,,1.0
2020-03-11,36.0,8.0,6.0,6.0,4.0,8.0,2.0,2.0,6.0,6.0,13.0,66.0,3.0,3046.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,3.0,3.0,0.0,18.0,6.0,1.0
2020-03-12,,8.0,6.0,,,8.0,2.0,2.0,24.0,6.0,13.0,,3.0,3056.0,4.0,,0.0,5.0,1.0,2.0,,,,8.0,6.0,3.0,0.0,3.0,9.0,,,,2.0
2020-03-13,,8.0,6.0,,2.0,8.0,6.0,2.0,,24.0,13.0,,4.0,3062.0,4.0,,0.0,,3.0,,,,,,7.0,3.0,0.0,3.0,,,,,
2020-03-14,,8.0,6.0,,2.0,8.0,,4.0,,,13.0,66.0,4.0,3075.0,12.0,,,,,1.0,,0.0,,,14.0,6.0,,3.0,,,,4.0,1.0
2020-03-15,,8.0,12.0,,4.0,8.0,,,,,13.0,,4.0,3085.0,,,0.0,,,1.0,,,,,,,,6.0,6.0,,,,1.0
2020-03-16,,8.0,,,,8.0,2.0,2.0,6.0,,13.0,,4.0,3099.0,,1.0,,,1.0,1.0,0.0,0.0,,2.0,7.0,3.0,,,,,,2.0,1.0
